,tac0,tac1,tac2,tac3,sigma0,sigma1,sigma2,sigma3
140,-2.3784971,-2.190407,-1.9991019,-1.7068044,1.0816257,1.0587449,1.034322,1.1281028
141,-2.162413,-1.875212,-1.7773131,-1.6069083,0.9972256,1.3401343,0.8803418,0.96281224
142,-3.282288,-2.8345923,-2.6116226,-2.3955169,0.86684656,0.88883734,0.75302,0.8836413
143,-2.2340786,-1.7523147,-1.6319225,-1.2865832,0.731972,0.7295993,1.0721577,0.92075914
144,-2.4278913,-2.0654259,-1.9360322,-1.6685287,0.9138679,0.94770724,0.915575,0.9181669
145,-2.0181386,-1.7533091,-1.6373376,-1.5482477,1.1358494,1.0527982,1.1408904,1.1415507
146,-2.5550568,-2.240252,-2.0852458,-1.918705,0.81954515,0.9023682,0.7546916,0.865375
147,-3.08688,-2.7477345,-2.7700658,-2.6617763,1.1455278,1.1177931,1.0676398,1.4199734
148,-2.4314728,-2.1848297,-2.082772,-2.038595,0.92746085,0.976232,0.84137607,0.8612504
149,-2.236783,-2.02731,-1.7821903,-1.4525847,1.3379999,1.164891,1.0824755,1.1636155
150,-2.2848125,-2.0117223,-1.6783205,-1.5255071,0.86814106,0.85078466,0.84141254,0.9042773
151,-2.695472,-2.4243665,-2.343415,-2.087682,1.0364014,0.8914396,0.884569,0.94696003
152,-2.4224262,-2.165695,-1.9859344,-1.7005662,0.7990881,0.78731334,0.7116709,0.97356147
153,-2.4428139,-2.2121818,-2.0849226,-2.003379,0.98404217,1.0736316,1.001694,1.1444565
154,-4.106827,-3.886305,-3.710914,-3.6049185,0.9939567,1.002639,1.0036364,1.0753734
155,-1.842962,-1.5501232,-1.3985988,-1.1869053,0.88530815,0.95714366,0.86607075,0.9075927
156,-2.896879,-2.8310354,-2.702725,-2.5070763,0.91589785,0.716104,0.72342086,0.74155766
157,-2.742004,-2.529012,-2.2840595,-2.2244434,1.1589404,1.2613032,0.8760498,0.94762796
158,-2.5447216,-2.2820022,-2.0490596,-1.8222786,0.69819593,0.65876126,0.74495685,0.7756821
159,-2.684568,-2.2268724,-2.0558133,-2.0341969,1.0341026,1.057965,0.99203646,1.0288715
160,-1.3385161,-1.0047648,-0.8008644,-0.7118419,1.5349607,1.1836904,1.1175946,1.276055
161,-0.8862017,-0.5076079,-0.24834229,-0.053152822,0.84263253,0.835815,1.1376891,0.8509969
162,-2.3450024,-2.1663532,-1.9330722,-1.7783294,1.0422938,0.96422476,1.0157489,1.0695789
163,-2.631649,-2.3850503,-2.2161613,-1.8764133,1.0956479,0.9924008,0.92213297,0.97678393
164,-1.7020862,-1.4701098,-1.2384139,-0.93784016,0.8149004,0.84921074,0.95430595,0.92053056
165,-1.8715028,-1.7117785,-1.5542912,-1.3721942,0.847138,0.920702,0.89994913,0.84408724
166,-2.585164,-2.1297052,-2.0928752,-1.7142252,1.1594274,1.0945483,1.1111366,1.2357504
167,-2.2287035,-2.0685594,-1.7678078,-1.4511381,1.1273557,0.83420706,0.8954504,0.8173104
168,-2.3781865,-1.934173,-1.7833301,-1.5629171,1.9251992,1.2058296,1.1615281,1.5650339
169,-2.344725,-1.974214,-1.7679535,-1.6943496,1.2722234,1.0779443,1.2598932,1.0045671
170,-1.7407953,-1.4208132,-1.1898834,-1.0665097,0.9474712,0.97778326,0.9398919,1.0259413
171,-1.8413562,-1.4566565,-1.2057699,-0.8170789,1.045334,1.1634904,1.2204437,1.2054703
172,-2.7071764,-2.4427085,-2.2148592,-1.8009714,0.99741733,0.96005166,1.0569419,1.0553701
173,-3.1143656,-2.7428153,-2.8393855,-2.6435173,1.1618234,1.3105633,1.1803327,1.2745271
174,-1.9670974,-1.6123185,-1.5562989,-1.0474477,1.0161674,0.9889551,0.9474106,1.3583752
175,-1.5725787,-1.4320917,-0.9139865,-0.8593349,1.222356,1.3746629,1.6175753,1.163815
176,-2.180576,-1.9665403,-1.669643,-1.4404546,0.94326127,0.86975306,0.7998418,1.0166249
177,-2.7865136,-2.5368953,-2.4070766,-2.2676587,0.95584095,0.95405227,0.9297141,0.98989916
