,tac0,tac1,tac2,tac3,sigma0,sigma1,sigma2,sigma3
334,-1.9947653,-1.6405636,-1.4931142,-1.2404113,0.70294964,0.7845058,0.9081865,0.82388806
335,-1.2165068,-0.9231552,-0.6472831,-0.5422259,0.89520675,0.9371818,0.9667479,0.92798615
336,-1.9014713,-1.6531438,-1.3187813,-1.0627934,0.9489816,1.0075593,1.0528783,0.9923592
337,-1.699817,-1.4811459,-1.2255206,-1.3212539,1.2954892,1.3755413,1.4587913,1.3923547
338,-1.1836252,-0.6796705,-0.48828796,-0.20989916,1.1305423,1.1534978,1.1084596,1.1802164
339,-1.7427857,-1.3812997,-1.0203664,-0.74973446,0.9900513,0.98103565,0.9332342,1.0022075
340,-1.7834828,-1.4427557,-1.3706088,-0.90226996,1.2494819,0.9909312,1.0809102,1.3997009
341,-1.3683558,-0.8315484,-0.63098836,-0.4097746,1.0057743,1.0304239,1.1191761,1.0458885
342,-0.8826761,-0.6387576,-0.3493499,-0.11543041,1.2913804,1.1373737,1.1532881,1.2155151
343,-1.2900121,-1.1981734,-1.0274577,-0.56851405,1.0346682,0.99120325,0.97158355,1.0767385
344,-2.0913918,-1.8219455,-1.6515019,-1.2623358,0.92595667,0.94915825,0.9347609,1.0046229
345,-1.9481429,-1.7632768,-1.4258788,-1.1765931,1.1752089,1.0394813,1.0922884,1.1865131
346,-1.494309,-1.300443,-1.1041183,-0.8491401,1.1524053,1.097087,1.2228888,1.5247597
347,-1.6709609,-1.4159124,-1.2033154,-0.99070656,1.0127386,0.9744279,0.9736526,1.0213522
348,-2.0154645,-1.4454768,-1.5293669,-1.0871967,1.2484761,1.2015122,0.9856436,1.0050974
349,-1.5523356,-1.5570332,-1.0068222,-0.7018134,1.144176,1.0942492,1.0460312,1.1154841
350,-0.7981692,-0.44957894,-0.3906468,-0.069777586,1.0763168,1.166661,1.0810113,1.1038684
351,-1.7690666,-1.3784934,-0.9527021,-0.96128094,1.0082486,1.0711987,1.1182783,1.2094139
352,-1.6864741,-1.3160462,-1.0394698,-0.83185136,0.8731014,0.8909165,0.8617107,1.0481309
353,-1.6887581,-1.2758693,-1.1168349,-1.0553902,0.9165171,0.96445626,0.8950457,0.98503774
354,-1.2191616,-0.631823,-0.5495989,-0.22273952,0.9853574,0.9821845,0.93835115,1.1190723
355,-1.1880403,-0.84035236,-0.711855,-0.53064024,0.97912294,0.9305131,0.9334743,1.0591604
356,-1.3556001,-0.91988117,-0.7014029,-0.31780228,1.0686815,0.94627374,1.1237301,1.0675304
357,-1.3431716,-0.81144965,-0.6900806,-0.42386848,1.0672443,0.91778505,0.98722565,1.0588292
358,-1.4264673,-0.9843766,-0.9558461,-0.5048662,0.9629361,1.0583922,0.9770668,0.97218144
359,-1.1833661,-0.51918477,-0.49470192,-0.32957327,1.0812532,1.1590947,1.1060624,1.2162536
360,-1.907176,-1.4605347,-1.278974,-1.0302863,0.89800453,0.922676,0.9565371,0.7852778
361,-0.37431264,0.06558082,0.23162661,0.48379722,1.2473674,1.2312707,1.2577198,1.2439128
362,-0.7504754,-0.22577552,-0.08527514,0.23747966,0.94610864,0.9430146,0.92713654,1.0568317
363,-1.2950349,-0.8121079,-0.58776647,-0.3454437,0.9515042,0.9761547,1.01466,0.9599974
364,-0.9469096,-0.56202704,-0.35095268,-0.11973746,1.0345691,1.1885941,1.1409373,1.1350447
365,-3.1433308,-2.6557908,-2.602806,-2.389146,0.9596013,1.0965068,0.9813641,1.0868832
366,-1.7239017,-1.2456694,-0.98666847,-0.7262079,0.9279805,0.9608932,0.9296481,0.96323323
367,-1.5862671,-1.2287557,-0.98889035,-0.64594483,1.0230138,0.9125965,0.9365972,0.9235109
368,-1.9671944,-1.552374,-1.4459056,-1.0667782,0.85203874,0.8358485,0.84991914,0.8732749
369,-1.5280298,-1.0141209,-0.8188403,-0.5724415,0.93804795,0.9359541,0.93502563,0.8877008
370,-1.5388203,-1.0810893,-0.9976097,-0.7256221,0.89746857,1.0075518,0.9020994,0.9410601
371,-1.2053138,-0.8317744,-0.5694359,-0.4259553,0.8348971,0.8492922,0.90633774,0.856903
372,-2.3166008,-1.8997654,-1.6905742,-1.4848838,1.0511334,0.94136226,0.93781537,1.0277622
373,-1.841519,-1.3383639,-1.1682322,-0.9365485,0.8200962,0.80210334,0.7958724,0.85007775
374,-1.3708534,-0.9614609,-0.9404128,-0.58901876,1.1468934,1.1658198,1.1514174,1.2028732
375,-2.0152943,-1.4708484,-1.3362828,-1.1701796,0.9290226,0.9412485,0.99187654,1.054189
376,-1.5412097,-1.1664549,-1.0091678,-0.7304838,1.086014,0.9668809,0.94402117,1.034232
377,-2.0304418,-1.4903041,-1.3592914,-1.1833569,0.8005527,0.79957527,0.80289704,0.8747998
378,-0.9098214,-0.5190077,-0.3263853,-0.13343269,0.9522163,0.8373738,0.8593664,1.0256652
379,-1.9889252,-1.6905538,-1.3447857,-1.0474474,0.9045672,0.8319939,0.8012732,0.9383178
380,-1.9987713,-1.5389218,-1.5028336,-1.1958605,0.94919515,0.8397046,0.7489695,0.87303966
381,-1.8763951,-1.4388101,-1.2565084,-1.0354657,0.7929176,0.81669503,0.8980841,0.91342443
382,-2.297477,-1.9332634,-1.7688105,-1.5632252,1.0382304,0.99615216,0.99417084,1.1242905
383,0.9094887,0.91892815,1.4917233,1.5797584,0.6100774,0.34017995,0.77088994,1.2292693
